1.40.0.0,1.43.255.255,262144,24/05/10,
1.44.0.0,1.44.255.255,65536,24/05/10,
1.120.0.0,1.127.255.255,524288,18/05/10,
1.128.0.0,1.159.255.255,2097152,18/05/10,
1.178.0.0,1.178.255.255,65536,25/06/10,
1.179.0.0,1.179.127.255,32768,25/06/10,
14.2.0.0,14.2.255.255,65536,13/08/10,
14.128.32.0,14.128.63.255,8192,14/09/10,
14.137.0.0,14.137.127.255,32768,09/09/10,
14.137.128.0,14.137.191.255,16384,09/09/10,
14.137.192.0,14.137.223.255,8192,09/09/10,
14.192.160.0,14.192.191.255,8192,28/09/10,
14.200.0.0,14.203.255.255,262144,14/09/10,
27.0.64.0,27.0.95.255,8192,16/03/10,
27.32.0.0,27.33.255.255,131072,18/03/10,
27.50.48.0,27.50.63.255,4096,17/03/10,
27.50.64.0,27.50.95.255,8192,17/03/10,
27.54.128.0,27.54.143.255,4096,22/03/10,
27.96.192.0,27.96.223.255,8192,20/05/10,
27.99.0.0,27.99.127.255,32768,24/05/10,
27.111.80.0,27.111.95.255,4096,02/07/10,
27.111.240.0,27.111.255.255,4096,29/06/10,
27.122.112.0,27.122.127.255,4096,05/10/10,
27.124.96.0,27.124.111.255,4096,13/10/10,
27.124.112.0,27.124.127.255,4096,24/03/11,
27.125.208.0,27.125.223.255,4096,14/10/10,
27.127.192.0,27.127.223.255,8192,22/10/10,
27.127.224.0,27.127.239.255,4096,22/10/10,
27.131.64.0,27.131.127.255,16384,20/04/10,
27.253.0.0,27.253.127.255,32768,22/03/11,
42.62.192.0,42.62.255.255,16384,22/03/11,
42.241.0.0,42.241.255.255,65536,22/03/11,
49.2.0.0,49.3.255.255,131072,13/09/10,
49.127.0.0,49.127.255.255,65536,07/04/11,
49.128.224.0,49.128.255.255,8192,11/11/10,
49.176.0.0,49.191.255.255,1048576,02/12/10,
49.192.0.0,49.199.255.255,524288,02/12/10,
49.236.240.0,49.236.255.255,4096,07/12/10,
49.255.0.0,49.255.255.255,65536,01/03/11,
58.6.0.0,58.6.127.255,32768,28/01/05,
58.6.128.0,58.6.255.255,32768,02/03/06,
58.7.0.0,58.7.255.255,65536,02/03/06,
58.84.64.0,58.84.127.255,16384,13/04/05,
58.84.128.0,58.84.191.255,16384,14/04/05,
58.84.192.0,58.84.207.255,4096,14/04/05,
58.87.0.0,58.87.15.255,4096,18/04/05,
58.96.0.0,58.96.127.255,32768,11/04/05,
58.96.128.0,58.96.159.255,8192,10/10/06,
58.96.192.0,58.96.255.255,16384,18/11/08,
58.104.0.0,58.105.255.255,131072,22/04/05,
58.106.0.0,58.106.255.255,65536,22/04/05,
58.107.0.0,58.107.255.255,65536,24/02/06,
58.108.0.0,58.109.255.255,131072,24/02/06,
58.110.0.0,58.110.255.255,65536,24/02/06,
58.111.0.0,58.111.255.255,65536,10/11/06,
58.145.128.0,58.145.159.255,8192,02/06/05,
58.160.0.0,58.167.255.255,524288,30/05/05,
58.168.0.0,58.171.255.255,262144,24/01/06,
58.172.0.0,58.175.255.255,262144,13/02/06,
58.178.0.0,58.178.255.255,65536,15/06/05,
58.179.0.0,58.179.255.255,65536,29/03/06,
58.181.64.0,58.181.95.255,8192,01/07/05,
59.86.160.0,59.86.191.255,8192,29/09/06,
59.100.0.0,59.101.255.255,131072,08/08/06,
59.102.0.0,59.102.127.255,32768,08/08/06,
59.154.0.0,59.154.255.255,65536,16/11/04,
59.167.0.0,59.167.127.255,32768,24/11/04,
59.167.128.0,59.167.255.255,32768,14/09/05,
59.191.192.0,59.191.223.255,8192,26/10/06,
60.224.0.0,60.231.255.255,524288,28/07/04,
60.240.0.0,60.240.255.255,65536,30/07/04,
60.241.0.0,60.241.255.255,65536,01/06/05,
60.242.0.0,60.242.255.255,65536,29/03/06,
61.8.96.0,61.8.127.255,8192,01/02/00,
61.9.128.0,61.9.255.255,32768,03/07/00,
61.14.0.0,61.14.63.255,16384,10/03/00,
61.14.96.0,61.14.127.255,8192,06/09/06,
61.28.192.0,61.28.223.255,8192,21/08/06,
61.29.0.0,61.29.127.255,32768,07/04/03,
61.68.0.0,61.68.255.255,65536,09/04/01,
61.69.0.0,61.69.255.255,65536,08/08/01,
61.88.0.0,61.88.255.255,65536,16/10/01,
61.95.0.0,61.95.63.255,16384,18/01/02,
61.95.64.0,61.95.127.255,16384,24/09/02,
61.245.128.0,61.245.159.255,8192,07/07/10,
64.15.32.0,64.15.47.255,4096,12/12/00,
101.0.64.0,101.0.127.255,16384,13/12/10,
101.2.192.0,101.2.255.255,16384,15/12/10,
101.53.128.0,101.53.255.255,32768,02/02/11,
101.103.0.0,101.103.255.255,65536,23/12/10,
101.112.0.0,101.119.255.255,524288,14/12/10,
101.160.0.0,101.191.255.255,2097152,23/12/10,
101.234.128.0,101.234.255.255,32768,08/03/11,
103.0.0.0,103.0.255.255,65536,05/04/11,
106.68.0.0,106.69.255.255,131072,04/04/11,
106.70.0.0,106.71.255.255,131072,22/03/11,
110.5.80.0,110.5.95.255,4096,25/02/09,
110.20.0.0,110.23.255.255,262144,24/02/09,
110.32.0.0,110.33.255.255,131072,24/02/09,
110.140.0.0,110.141.255.255,131072,20/04/09,
110.142.0.0,110.142.255.255,65536,18/05/10,
110.143.0.0,110.143.255.255,65536,23/12/10,
110.144.0.0,110.151.255.255,524288,20/04/09,
110.173.128.0,110.173.159.255,8192,06/05/09,
110.174.0.0,110.175.255.255,131072,08/05/09,
110.238.0.0,110.238.255.255,65536,18/05/09,
110.239.0.0,110.239.127.255,32768,18/05/09,
110.239.128.0,110.239.255.255,32768,25/06/10,
111.67.0.0,111.67.15.255,4096,01/06/09,
111.67.16.0,111.67.31.255,4096,19/08/10,
111.118.160.0,111.118.175.255,4096,01/07/09,
111.118.224.0,111.118.239.255,4096,01/07/09,
111.125.160.0,111.125.175.255,4096,06/07/09,
111.125.176.0,111.125.191.255,4096,21/03/11,
111.220.0.0,111.220.255.255,65536,10/07/09,
111.223.224.0,111.223.239.255,4096,22/07/09,
112.141.0.0,112.141.255.255,65536,11/02/09,
112.213.32.0,112.213.47.255,4096,18/02/09,
112.213.128.0,112.213.191.255,16384,19/02/09,
112.213.192.0,112.213.223.255,8192,19/02/09,
112.213.224.0,112.213.255.255,8192,10/01/11,
113.20.0.0,113.20.15.255,4096,02/10/08,
113.21.32.0,113.21.47.255,4096,06/11/08,
113.52.0.0,113.52.15.255,4096,20/10/08,
113.61.64.0,113.61.95.255,8192,04/11/08,
113.192.0.0,113.192.63.255,16384,13/11/08,
113.197.0.0,113.197.15.255,4096,21/11/08,
113.197.112.0,113.197.127.255,4096,05/12/08,
113.203.0.0,113.203.127.255,32768,28/11/08,
114.30.96.0,114.30.127.255,8192,01/05/08,
114.31.192.0,114.31.207.255,4096,15/05/08,
114.72.0.0,114.75.255.255,262144,14/05/08,
114.76.0.0,114.77.255.255,131072,14/05/08,
114.78.0.0,114.78.255.255,65536,14/05/08,
114.111.128.0,114.111.143.255,4096,26/05/08,
114.111.144.0,114.111.159.255,4096,06/07/09,
114.129.128.0,114.129.159.255,8192,03/06/08,
114.129.160.0,114.129.191.255,8192,03/04/09,
114.141.96.0,114.141.111.255,4096,18/06/08,
114.142.160.0,114.142.175.255,4096,20/10/10,
114.198.0.0,114.198.63.255,16384,25/06/08,
114.198.64.0,114.198.127.255,16384,23/09/09,
115.30.32.0,115.30.63.255,8192,07/07/08,
115.42.0.0,115.42.31.255,8192,10/07/08,
115.64.0.0,115.64.255.255,65536,11/07/08,
