146.83.0.0,146.83.255.255,65536,28/01/91,
146.155.0.0,146.155.255.255,65536,15/02/91,
152.74.0.0,152.74.255.255,65536,27/08/91,
152.139.0.0,152.139.255.255,65536,21/08/91,
152.172.0.0,152.175.255.255,262144,23/05/14,
152.230.0.0,152.230.255.255,65536,05/05/14,
152.231.64.0,152.231.127.255,16384,13/06/14,
156.97.0.0,156.97.255.255,65536,23/12/91,
158.170.0.0,158.170.255.255,65536,19/03/92,
158.251.0.0,158.251.255.255,65536,14/04/92,
161.0.160.0,161.0.175.255,4096,11/04/14,
161.25.0.0,161.25.255.255,65536,04/05/92,
161.131.0.0,161.131.255.255,65536,20/08/92,
161.238.0.0,161.238.255.255,65536,23/03/93,
163.247.0.0,163.247.255.255,65536,30/09/92,
163.250.0.0,163.250.255.255,65536,08/10/92,
164.77.0.0,164.77.255.255,65536,23/12/92,
164.96.0.0,164.96.255.255,65536,29/01/93,
164.98.0.0,164.98.255.255,65536,02/02/93,
165.182.0.0,165.182.255.255,65536,26/07/93,
165.183.0.0,165.183.255.255,65536,26/07/93,
166.75.0.0,166.75.255.255,65536,02/11/93,
166.110.0.0,166.110.255.255,65536,07/12/93,
167.28.0.0,167.28.255.255,65536,29/04/93,
168.231.0.0,168.231.255.255,65536,25/08/94,
170.18.0.0,170.18.255.255,65536,27/12/93,
179.2.0.0,179.3.255.255,131072,21/01/13,
179.4.0.0,179.4.255.255,65536,21/01/13,
179.8.0.0,179.9.255.255,131072,05/06/13,
179.56.0.0,179.57.255.255,131072,08/07/13,
179.60.64.0,179.60.95.255,8192,04/09/13,
179.61.96.0,179.61.111.255,4096,30/12/13,
179.61.128.0,179.61.255.255,32768,06/01/14,
181.41.192.0,181.41.223.255,8192,01/08/13,
181.42.0.0,181.42.255.255,65536,22/08/11,
181.43.0.0,181.43.255.255,65536,31/05/13,
181.72.0.0,181.75.255.255,262144,15/12/11,
181.118.160.0,181.118.175.255,4096,21/08/13,
181.160.0.0,181.161.255.255,131072,20/12/11,
181.162.0.0,181.163.255.255,131072,04/09/12,
181.172.0.0,181.173.255.255,131072,05/01/12,
181.190.0.0,181.190.255.255,65536,20/12/12,
181.200.0.0,181.203.255.255,262144,27/08/12,
181.212.0.0,181.212.255.255,65536,12/06/14,
181.214.0.0,181.215.255.255,131072,29/05/14,
181.225.112.0,181.225.127.255,4096,23/01/13,
181.226.0.0,181.226.255.255,65536,17/10/12,
186.9.0.0,186.9.127.255,32768,01/07/08,
186.9.128.0,186.9.255.255,32768,01/09/08,
186.10.0.0,186.10.127.255,32768,07/04/09,
186.10.128.0,186.10.255.255,32768,12/03/10,
186.11.0.0,186.11.255.255,65536,14/07/10,
186.20.0.0,186.20.255.255,65536,30/07/10,
186.21.0.0,186.21.255.255,65536,04/11/10,
186.34.0.0,186.35.255.255,131072,04/06/10,
186.36.0.0,186.36.255.255,65536,19/03/09,
186.37.0.0,186.37.255.255,65536,26/05/11,
186.40.0.0,186.40.127.255,32768,04/06/09,
186.40.128.0,186.40.255.255,32768,20/08/10,
186.41.0.0,186.41.255.255,65536,20/08/10,
186.65.128.0,186.65.255.255,32768,15/03/11,
186.67.0.0,186.67.255.255,65536,13/05/11,
186.78.0.0,186.79.255.255,131072,04/04/11,
186.103.128.0,186.103.255.255,32768,13/10/11,
186.104.0.0,186.105.255.255,131072,24/04/09,
186.106.0.0,186.107.255.255,131072,03/08/10,
186.148.0.0,186.148.63.255,16384,21/06/11,
186.156.0.0,186.156.127.255,32768,02/06/11,
186.156.128.0,186.156.255.255,32768,21/12/12,
186.172.0.0,186.175.255.255,262144,15/07/11,
186.179.80.0,186.179.95.255,4096,04/09/12,
190.4.96.0,190.4.111.255,4096,02/05/07,
190.4.192.0,190.4.223.255,8192,13/10/06,
190.4.224.0,190.4.255.255,8192,12/03/08,
190.5.32.0,190.5.63.255,8192,15/04/11,
190.8.64.0,190.8.79.255,4096,28/07/06,
190.8.80.0,190.8.95.255,4096,18/12/06,
190.8.96.0,190.8.111.255,4096,20/04/07,
190.8.112.0,190.8.127.255,4096,29/06/07,
190.13.64.0,190.13.79.255,4096,29/08/06,
190.13.128.0,190.13.143.255,4096,16/06/06,
190.13.144.0,190.13.159.255,4096,05/08/10,
190.13.160.0,190.13.191.255,8192,21/09/06,
190.14.48.0,190.14.63.255,4096,02/03/11,
190.20.0.0,190.20.255.255,65536,12/06/06,
190.21.0.0,190.21.255.255,65536,23/02/07,
190.22.0.0,190.22.127.255,32768,18/04/07,
190.22.128.0,190.22.255.255,32768,05/10/07,
190.44.0.0,190.44.255.255,65536,06/04/06,
190.45.0.0,190.45.255.255,65536,07/06/06,
190.46.0.0,190.47.255.255,131072,27/06/06,
190.54.0.0,190.54.127.255,32768,21/03/06,
190.54.128.0,190.54.255.255,32768,02/05/07,
190.82.0.0,190.82.63.255,16384,04/10/06,
190.82.64.0,190.82.127.255,16384,08/06/09,
190.82.128.0,190.82.255.255,32768,10/01/07,
190.91.0.0,190.91.255.255,65536,01/03/11,
190.93.224.0,190.93.239.255,4096,20/11/09,
190.95.0.0,190.95.31.255,8192,30/05/07,
190.95.32.0,190.95.63.255,8192,08/11/07,
190.95.64.0,190.95.127.255,16384,28/12/07,
190.96.0.0,190.96.31.255,8192,19/07/07,
190.96.32.0,190.96.63.255,8192,10/01/08,
190.96.64.0,190.96.95.255,8192,30/09/08,
190.98.192.0,190.98.255.255,16384,06/01/10,
190.100.0.0,190.100.255.255,65536,04/01/08,
190.101.0.0,190.101.127.255,32768,15/01/10,
