41.87.128.0,41.87.159.255,8192,02/09/10,
41.92.0.0,41.92.127.255,32768,06/10/09,
41.137.0.0,41.137.255.255,65536,16/09/09,
41.140.0.0,41.143.255.255,262144,06/01/09,
41.205.192.0,41.205.223.255,8192,28/11/06,
41.214.128.0,41.214.255.255,32768,08/04/08,
41.248.0.0,41.251.255.255,262144,02/02/06,
45.216.0.0,45.219.255.255,262144,24/02/15,
62.251.128.0,62.251.255.255,32768,08/01/01,
81.192.0.0,81.192.255.255,65536,30/07/02,
105.64.0.0,105.79.255.255,1048576,27/01/14,
105.128.0.0,105.159.255.255,2097152,02/06/11,
105.188.0.0,105.191.255.255,262144,29/04/14,
160.160.0.0,160.175.255.255,1048576,10/11/14,
160.176.0.0,160.179.255.255,262144,10/11/14,
193.194.32.0,193.194.63.255,8192,28/09/09,
194.204.192.0,194.204.255.255,16384,11/01/96,
196.2.80.0,196.2.95.255,4096,01/06/05,
196.12.192.0,196.12.255.255,16384,28/12/07,
196.200.128.0,196.200.191.255,16384,18/05/04,
196.206.0.0,196.206.255.255,65536,04/02/05,
196.217.0.0,196.217.255.255,65536,02/10/05,
197.128.0.0,197.131.255.255,262144,11/11/10,
197.144.0.0,197.147.255.255,262144,09/05/12,
197.153.0.0,197.153.255.255,65536,28/05/12,
197.230.0.0,197.230.255.255,65536,15/03/13,
197.247.0.0,197.247.255.255,65536,24/10/11,
197.253.128.0,197.253.255.255,32768,23/03/11,
212.217.0.0,212.217.127.255,32768,05/08/98,

