152.231.32.0,152.231.47.255,4096,19/05/14,
161.0.32.0,161.0.63.255,8192,28/03/14,
165.98.0.0,165.98.255.255,65536,11/05/93,
186.1.0.0,186.1.63.255,16384,10/09/08,
186.76.0.0,186.77.255.255,131072,19/10/11,
190.106.0.0,190.106.31.255,8192,23/06/08,
190.106.48.0,190.106.63.255,4096,23/02/12,
190.181.128.0,190.181.191.255,16384,26/04/10,
190.184.0.0,190.184.63.255,16384,22/05/07,
190.184.64.0,190.184.127.255,16384,14/05/08,
190.212.0.0,190.212.63.255,16384,12/09/07,
190.212.64.0,190.212.127.255,16384,11/05/09,
190.212.128.0,190.212.255.255,32768,11/05/09,
191.98.224.0,191.98.255.255,8192,14/02/14,
191.103.112.0,191.103.127.255,4096,28/03/14,
200.62.64.0,200.62.95.255,8192,13/12/04,
200.62.96.0,200.62.127.255,8192,22/08/05,
200.85.160.0,200.85.175.255,4096,28/03/02,

